ID,Organizations,Organization,Source_Type,P1,P2,Total_Annual,Flow,Disbursement_Type,Parish,Receiving_Type,Parish Source_Type,fips
182,Restitution payments to individuals,Individuals - Restitution,Unspecified,3168,19081,22249,less,Disbursements to individuals/3rd party collection or processing agencies,ascension,Individuals - Specified,ascension Unspecified,22005
183,Other Disbursements to Individuals,Individuals - Other,Unspecified,19412,51033,70445,less,Disbursements to individuals/3rd party collection or processing agencies,ascension,Individuals - Unspecified Other,ascension Unspecified,22005
184,Payments to 3rd party collection/processing agencies,3rd Party Collection/Processing Agencies,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,ascension,Collections/Processing,ascension Unspecified,22005
185,Civil Fees,Ascension Parish Sheriff,Civil Fees,0,0,0,more,NAN,ascension,Parish Sheriff,ascension Civil Fees,22005
186,Bond Fees,Ascension Parish Sheriff,Bond Fees,241817,317144,558961,more,NAN,ascension,Parish Sheriff,ascension Bond Fees,22005
187,Asset Forfeiture/Sale,Ascension Parish Sheriff,Asset Forfeiture/Sale,0,0,0,more,NAN,ascension,Parish Sheriff,ascension Asset Forfeiture/Sale,22005
188,Pre-Trial Diversion Program Fees,Ascension Parish Sheriff,Pre-Trial Diversion Program Fees,0,0,0,more,NAN,ascension,Parish Sheriff,ascension Pre-Trial Diversion Program Fees,22005
189,Criminal Court Costs/Fees,Ascension Parish Sheriff,Criminal Court Costs/Fees,453571,615889,1069460,more,NAN,ascension,Parish Sheriff,ascension Criminal Court Costs/Fees,22005
190,Criminal Fines - Contempt,Ascension Parish Sheriff,Criminal Fines - Contempt,0,0,0,more,NAN,ascension,Parish Sheriff,ascension Criminal Fines - Contempt,22005
191,Criminal Fines - Other,Ascension Parish Sheriff,Criminal Fines - Other,207547,277162,484709,more,NAN,ascension,Parish Sheriff,ascension Criminal Fines - Other,22005
192,Restitution,Ascension Parish Sheriff,Restitution,3168,21243,24411,more,NAN,ascension,Parish Sheriff,ascension Restitution,22005
193,Probation/Parole/Supervision Fees,Ascension Parish Sheriff,Probatiion/Parole/Supervision Fees,0,0,0,more,NAN,ascension,Parish Sheriff,ascension Probatiion/Parole/Supervision Fees,22005
194,Service/Collection Fees,Ascension Parish Sheriff,Service/Collection Fees,3119,23972,27091,more,NAN,ascension,Parish Sheriff,ascension Service/Collection Fees,22005
195,Interest Earnings on Collected Balances,Ascension Parish Sheriff,Interest,0,0,0,more,NAN,ascension,Parish Sheriff,ascension Interest,22005
196,Other,Ascension Parish Sheriff,Other,193638,256530,450168,more,NAN,ascension,Parish Sheriff,ascension Other,22005
197,"Assumption Parish Police Jury, Criminal Court - Costs, Fines",Assumption Parish Police Jury,Criminal Court Costs/Fines,77234,110408,187642,less,Disbursements to governments & nonprofits,assumption,Police Jury/Police Jury Costs,assumption Criminal Court Costs/Fines,22007
198,"Assumption Parish Police Jury, Criminal Court - Juror Fees",Assumption Parish Police Jury,Criminal Court Juror Fees,9107,12424,21531,less,Disbursements to governments & nonprofits,assumption,Police Jury/Police Jury Costs,assumption Criminal Court Juror Fees,22007
199,"Assumption Parish Police Juiy, Criminal Court - Witness Fees",Assumption Parish Police Jury,Criminal Witness Fees,4145,5621,9766,less,Disbursements to governments & nonprofits,assumption,Police Jury/Police Jury Costs,assumption Criminal Witness Fees,22007
200,"Assumption Parish Police Jury, Criminal Court - Act 582",Assumption Parish Police Jury,Criminal Court - Act 582,16579,22600,39179,less,Disbursements to governments & nonprofits,assumption,Police Jury/Police Jury Costs,assumption Criminal Court - Act 582,22007
201,"Keep Louisiana Beautiful, Criminal Court - Fees",State Treasury Keep LA Beautiful Fund,Criminal Court Fees,50,25,75,less,Disbursements to governments & nonprofits,assumption,Louisiana State Treasury,assumption Criminal Court Fees,22007
202,"23rd Judicial District Attorney, Criminal Court - Costs, Fines",23rd Judicial District Court District Attorney,Criminal Court Costs/Fines,51707,75376,127083,less,Disbursements to governments & nonprofits,assumption,District Courts,assumption Criminal Court Costs/Fines,22007
203,"23rd Judicial District Attorney, Expenses",23rd Judicial District Court District Attorney,Expenses,4190,5678,9868,less,Disbursements to governments & nonprofits,assumption,District Courts,assumption Expenses,22007
204,"23rd Judicial Indigent Defender Fund, Criminal Court - Costs, Fines",25th Judicial District Court District Attorney,Criminal Court Costs/Fines,62358,90102,152460,less,Disbursements to governments & nonprofits,assumption,District Courts,assumption Criminal Court Costs/Fines,22007
205,"Assumption Parish Clerk of Court, Criminal Court - Costs, Fines",Assumption Parish Clerk of Court,Criminal Court Costs/Fines,19117,26126,45243,less,Disbursements to governments & nonprofits,assumption,Parish Clerk of Court,assumption Criminal Court Costs/Fines,22007
206,"Assumption Parish Clerk of Court, Civil Fees",Assumption Parish Clerk of Court,Civil Fees,8639,6612,15251,less,Disbursements to governments & nonprofits,assumption,Parish Clerk of Court,assumption Civil Fees,22007
207,"Louisiana Commission on Law Enforcement, Criminal Court - Costs, Fines",Louisiana Commission on Law Enforcement,Criminal Court Costs/Fines,4224,5828,10052,less,Disbursements to governments & nonprofits,assumption,Louisiana Commission on Law Enforcement,assumption Criminal Court Costs/Fines,22007
208,"Louisiana Department of Public Safety, Criminal Court - Costs, Fines",Louisiana Department of Public Safety,Criminal Court Costs/Fines,525,500,1025,less,Disbursements to governments & nonprofits,assumption,Public Safety (Parish and/or State),assumption Criminal Court Costs/Fines,22007
209,"Louisiana Department of Public Safety, Civil Fees",Louisiana Department of Public Safety,Criminal Court Costs/Fines,72,40,112,less,Disbursements to governments & nonprofits,assumption,Public Safety (Parish and/or State),assumption Criminal Court Costs/Fines,22007
210,"Louisiana Supreme Court, Criminal Court - Costs, Fines",Louisiana Supreme Court,Criminal Court Costs/Fines,363,508,871,less,Disbursements to governments & nonprofits,assumption,Louisiana Supreme Court,assumption Criminal Court Costs/Fines,22007
211,"State of Louisiana, Treasurer, Criminal Court - Costs, Fines",State of Louisiana Treasurer,Criminal Court Costs/Fines,2486,3388,5874,less,Disbursements to governments & nonprofits,assumption,Louisiana State Treasury,assumption Criminal Court Costs/Fines,22007
212,"Louisiana State Treasury Fish and Wildlife, Criminal Court - Costs, Fines",State Treasury Fish and Wildlife,Criminal Court Costs/Fines,16,8,24,less,Disbursements to governments & nonprofits,assumption,Louisiana State Treasury,assumption Criminal Court Costs/Fines,22007
213,"Louisiana Department of Health, Criminal Court - Costs, Fines",Louisiana Department of Health and Hospitals,Criminal Court Costs/Fines,3290,4435,7725,less,Disbursements to governments & nonprofits,assumption,Louisiana Department of Health and Hospitals,assumption Criminal Court Costs/Fines,22007
214,"Louisiana State Police Crime Laboratory, Criminal Court - Costs, Fines",Louisiana State Police Crime Laboratory,Criminal Court Costs/Fines,578,636,1214,less,Disbursements to governments & nonprofits,assumption,Crime Labs,assumption Criminal Court Costs/Fines,22007
215,"East Baton Rouge Sheriff, Notice Services",East Baton Rouge Sheriff,Notice Services,0,195,195,less,Disbursements to governments & nonprofits,assumption,Parish Sheriff,assumption Notice Services,22007
216,"Ascension Parish Sheriff, Notice Services",Ascension Parish Sheriff,Notice Services,50,180,230,less,Disbursements to governments & nonprofits,assumption,Parish Sheriff,assumption Notice Services,22007
217,"Lafourche Parish Sheriff, Notice Services",Lafourche Parish Sheriff,Notice Services,66,0,66,less,Disbursements to governments & nonprofits,assumption,Parish Sheriff,assumption Notice Services,22007
218,"Livingston Parish Sheriff, Notice Services",Livingston Parish Sheriff,Notice Services,23,0,23,less,Disbursements to governments & nonprofits,assumption,Parish Sheriff,assumption Notice Services,22007
219,Assumption Parish Sheriff: Collection Fee for Collecting/ Disbursing/ to Others Based on Percentage of Collection,Assumption Parish Sheriff,Collection Fee for Collection/Disbursing to Others Based on Percentage of Collection,27642,25162,52804,less,Amounts retained by collection agency,assumption,Parish Sheriff,assumption Collection Fee for Collection/Disbursing to Others Based on Percentage of Collection,22007
220,"Assumption Parish Sheriff, Bond Fees",Assumption Parish Sheriff,Bond Fees,52410,76838,129248,less,Amounts retained by collection agency,assumption,Parish Sheriff,assumption Bond Fees,22007
221,Bond Fee Refunds,Individuals - Bond Fee Refunds,Unspecified,17899,27752,45651,less,Disbursements to individuals/3rd party collection or processing agencies,assumption,Individuals - Specified,assumption Unspecified,22007
222,Restitution Payments to Individuals,Individuals - Restitution,Unspecified,650,750,1400,less,Disbursements to individuals/3rd party collection or processing agencies,assumption,Individuals - Specified,assumption Unspecified,22007
223,Payments to 3rd Party Collection/Processing Agencies/Attorneys,3rd Party Collection/Processing Agencies,Unspecified,102019,86906,188925,less,Disbursements to individuals/3rd party collection or processing agencies,assumption,Collections/Processing,assumption Unspecified,22007
224,Civil Fees (garnishments),Assumption Parish Sheriff,Civil Fees (garnishments),46790,48686,95476,more,NAN,assumption,Parish Sheriff,assumption Civil Fees (garnishments),22007
225,Civil Fees (service fees),Assumption Parish Sheriff,Civil Fees (service fees),24891,21370,46261,more,NAN,assumption,Parish Sheriff,assumption Civil Fees (service fees),22007
226,Bond Fees,Assumption Parish Sheriff,Bond Fees,340563,491894,832457,more,NAN,assumption,Parish Sheriff,assumption Bond Fees,22007
227,Asset Forfeiture/ Sale,Assumption Parish Sheriff,Asset Forfeiture/Sale,67207,49029,116236,more,NAN,assumption,Parish Sheriff,assumption Asset Forfeiture/Sale,22007
228,Interest Eamings on Collected Balances,Assumption Parish Sheriff,Interest,72,76,148,more,NAN,assumption,Parish Sheriff,assumption Interest,22007
229,Other,Assumption Parish Sheriff,Other,0,18260,18260,more,NAN,assumption,Parish Sheriff,assumption Other,22007
230,12th Judicial District Allorney-Criminal Fines-Other,12th Judicial District Court District Attorney,Criminal Fines - Other,15921,17760,33681,less,Disbursements to governments & nonprofits,avoyelles,District Courts,avoyelles Criminal Fines - Other,22009
231,12th Judicial District AtlorneJ<Criminal Court Costs/Fees,12th Judicial District Court District Attorney,Criminal Court Costs/Fees,46389,47995,94384,less,Disbursements to governments & nonprofits,avoyelles,District Courts,avoyelles Criminal Court Costs/Fees,22009
232,Louisiana Supreme Court-Criminal Court Costs/Fees,Louisiana Supreme Court,Criminal Court Costs/Fees,210,253,463,less,Disbursements to governments & nonprofits,avoyelles,Louisiana Supreme Court,avoyelles Criminal Court Costs/Fees,22009
233,12th Judicial District Allorney-Bond Fees,12th Judicial District Court District Attorney,Bond Fees,29492,19828,49320,less,Disbursements to governments & nonprofits,avoyelles,District Courts,avoyelles Bond Fees,22009
234,12th Judicial District Court-Bond Fees,12th Judicial District Court,Bond Fees,29492,19828,49320,less,Disbursements to governments & nonprofits,avoyelles,District Courts,avoyelles Bond Fees,22009
235,Avoyelles Indigent Defender-Bond Fees,Avoyelles Indigent Defender,Bond Fees,29492,19828,49320,less,Disbursements to governments & nonprofits,avoyelles,Parish Indigent/Public Defense,avoyelles Bond Fees,22009
236,12th Judicial District Court-Criminal Fines-Other,12th Judicial District Court,Criminal Fines - Other,45600,45600,91200,less,Disbursements to governments & nonprofits,avoyelles,District Courts,avoyelles Criminal Fines - Other,22009
237,"Avoyelles Parish Police Jury,-Criminal Fines-Other",Avoyelles Parish Police Jury,Criminal Fines - Other,55235,66879,122114,less,Disbursements to governments & nonprofits,avoyelles,Police Jury/Police Jury Costs,avoyelles Criminal Fines - Other,22009
238,"Avoyelles Parish Po/ice Jury,-Criminal Court Costs/Fees",Avoyelles Parish Police Jury,Criminal Court Costs/Fees,20027,21279,41306,less,Disbursements to governments & nonprofits,avoyelles,Police Jury/Police Jury Costs,avoyelles Criminal Court Costs/Fees,22009
239,12th Judicial District Clerk of Court-Criminal Court Costs/Fees,12th Judicial District Clerk of Court,Criminal Court Costs/Fees,21544,22570,44114,less,Disbursements to governments & nonprofits,avoyelles,District Courts,avoyelles Criminal Court Costs/Fees,22009
240,12th Judicial District Clerk of Court-Civil Fees,12th Judicial District Clerk of Court,Civil Fees,18030,315835,333865,less,Disbursements to governments & nonprofits,avoyelles,District Courts,avoyelles Civil Fees,22009
241,Avoyelles Indigent Defender-Criminal Court Costs/Fees,Avoyelles Indigent Defender,Criminal Court Costs/Fees,59132,59720,118852,less,Disbursements to governments & nonprofits,avoyelles,Parish Indigent/Public Defense,avoyelles Criminal Court Costs/Fees,22009
242,12th Judicial District Court-Criminal Court Costs/Fees,12th Judicial District Court,Criminal Court Costs/Fees,8184,8401,16585,less,Disbursements to governments & nonprofits,avoyelles,District Courts,avoyelles Criminal Court Costs/Fees,22009
243,Department of Public Safety-Criminal Court Costs/Fees,Department of Public Safety,Criminal Court Costs/Fees,3450,3450,6900,less,Disbursements to governments & nonprofits,avoyelles,Public Safety (Parish and/or State),avoyelles Criminal Court Costs/Fees,22009
244,Central LA Juvenile Detention-Criminal Court Costs/Fees,Central Louisiana Juvenile Detention,Criminal Court Costs/Fees,5242,5393,10635,less,Disbursements to governments & nonprofits,avoyelles,Juvenile Detention/Justice,avoyelles Criminal Court Costs/Fees,22009
245,Avoyelles Parish Coroner-Criminal Court Costs/Fees,Avoyelles Parish Coroner,Criminal Court Costs/Fees,1900,2080,3980,less,Disbursements to governments & nonprofits,avoyelles,Coroners,avoyelles Criminal Court Costs/Fees,22009
246,"State of Louisiana, Trial Court Management Information System, Criminal Court Costs/Fees",State of Louisiana Treasury - CMIS,Criminal Court Costs/Fees,2177,2396,4573,less,Disbursements to governments & nonprofits,avoyelles,Louisiana State Treasury,avoyelles Criminal Court Costs/Fees,22009
247,LA Department of Wildlife & Fisheries-Criminal Court Costs/Fees,Louisiana Department of Wildlife and Fisheries,Criminal Court Costs/Fees,1400,1492,2892,less,Disbursements to governments & nonprofits,avoyelles,Louisiana Department of Wildlife and Fisheries,avoyelles Criminal Court Costs/Fees,22009
